red	eCut	att
0.0076	6.68344e+19	0.813918
0.0076	7.07946e+19	0.779112
0.0076	7.49894e+19	0.739819
0.0076	7.94328e+19	0.695338
0.0076	8.41395e+19	0.644355
0.0076	8.91251e+19	0.585275
0.0076	9.44061e+19	0.529957
0.0076	1e+20	0.472734
0.0101	1e+19	0.932098
0.0101	1.05925e+19	0.93102
0.0101	1.12202e+19	0.92984
0.0101	1.1885e+19	0.929115
0.0101	1.25893e+19	0.928586
0.0101	1.33352e+19	0.926982
0.0101	1.41254e+19	0.926771
0.0101	1.49624e+19	0.92561
0.0101	1.58489e+19	0.924625
0.0101	1.6788e+19	0.924564
0.0101	1.77828e+19	0.923526
0.0101	1.88365e+19	0.923248
0.0101	1.99526e+19	0.922007
0.0101	2.11349e+19	0.921122
0.0101	2.23872e+19	0.921218
0.0101	2.37137e+19	0.920968
0.0101	2.51189e+19	0.920307
0.0101	2.66073e+19	0.920058
0.0101	2.81838e+19	0.918235
0.0101	2.98538e+19	0.918096
0.0101	3.16228e+19	0.917737
0.0101	3.34965e+19	0.918564
0.0101	3.54813e+19	0.913517
0.0101	3.75837e+19	0.913295
0.0101	3.98107e+19	0.911066
0.0101	4.21697e+19	0.906757
0.0101	4.46684e+19	0.900875
0.0101	4.73151e+19	0.891851
0.0101	5.01187e+19	0.879956
0.0101	5.30884e+19	0.866267
0.0101	5.62341e+19	0.844236
0.0101	5.95662e+19	0.818671
0.0101	6.30957e+19	0.785845
0.0101	6.68344e+19	0.746076
0.0101	7.07946e+19	0.696731
0.0101	7.49894e+19	0.646957
0.0101	7.94328e+19	0.586265
0.0101	8.41395e+19	0.525329
0.0101	8.91251e+19	0.461956
0.0101	9.44061e+19	0.40008
0.0101	1e+20	0.339095
0.0126	1e+19	0.915498
0.0126	1.05925e+19	0.915057
0.0126	1.12202e+19	0.913302
0.0126	1.1885e+19	0.911969
0.0126	1.25893e+19	0.911294
0.0126	1.33352e+19	0.909645
0.0126	1.41254e+19	0.908943
0.0126	1.49624e+19	0.908121
0.0126	1.58489e+19	0.906925
0.0126	1.6788e+19	0.906488
0.0126	1.77828e+19	0.906048
0.0126	1.88365e+19	0.905279
0.0126	1.99526e+19	0.903977
0.0126	2.11349e+19	0.903353
0.0126	2.23872e+19	0.902981
0.0126	2.37137e+19	0.901686
0.0126	2.51189e+19	0.901438
0.0126	2.66073e+19	0.901352
0.0126	2.81838e+19	0.899486
0.0126	2.98538e+19	0.898396
0.0126	3.16228e+19	0.898973
0.0126	3.34965e+19	0.897087
0.0126	3.54813e+19	0.893301
0.0126	3.75837e+19	0.89192
0.0126	3.98107e+19	0.888147
0.0126	4.21697e+19	0.88214
0.0126	4.46684e+19	0.874748
0.0126	4.73151e+19	0.865205
0.0126	5.01187e+19	0.849564
0.0126	5.30884e+19	0.829027
0.0126	5.62341e+19	0.802475
0.0126	5.95662e+19	0.76852
0.0126	6.30957e+19	0.728695
0.0126	6.68344e+19	0.677503
0.0126	7.07946e+19	0.620042
0.0126	7.49894e+19	0.558336
0.0126	7.94328e+19	0.489458
0.0126	8.41395e+19	0.419652
0.0126	8.91251e+19	0.349578
0.0126	9.44061e+19	0.284431
0.0126	1e+20	0.228963
0.0151	1e+19	0.899558
0.0151	1.05925e+19	0.898519
0.0151	1.12202e+19	0.897077
0.0151	1.1885e+19	0.895488
0.0151	1.25893e+19	0.894303
0.0151	1.33352e+19	0.892978
0.0151	1.41254e+19	0.892424
0.0151	1.49624e+19	0.890647
0.0151	1.58489e+19	0.889354
0.0151	1.6788e+19	0.888573
0.0151	1.77828e+19	0.887705
0.0151	1.88365e+19	0.887321
0.0151	1.99526e+19	0.885717
0.0151	2.11349e+19	0.88504
0.0151	2.23872e+19	0.884185
0.0151	2.37137e+19	0.882244
0.0151	2.51189e+19	0.882269
0.0151	2.66073e+19	0.881812
0.0151	2.81838e+19	0.879695
0.0151	2.98538e+19	0.879624
0.0151	3.16228e+19	0.879455
0.0151	3.34965e+19	0.878633
0.0151	3.54813e+19	0.875451
0.0151	3.75837e+19	0.871734
0.0151	3.98107e+19	0.866449
0.0151	4.21697e+19	0.858946
0.0151	4.46684e+19	0.848636
0.0151	4.73151e+19	0.835857
0.0151	5.01187e+19	0.816877
0.0151	5.30884e+19	0.794153
0.0151	5.62341e+19	0.761019
0.0151	5.95662e+19	0.715201
0.0151	6.30957e+19	0.66742
0.0151	6.68344e+19	0.608709
0.0151	7.07946e+19	0.542485
0.0151	7.49894e+19	0.472335
0.0151	7.94328e+19	0.397966
0.0151	8.41395e+19	0.326191
0.0151	8.91251e+19	0.260228
0.0151	9.44061e+19	0.202697
0.0151	1e+20	0.154931
0.0176	1e+19	0.883367
0.0176	1.05925e+19	0.882319
0.0176	1.12202e+19	0.881035
0.0176	1.1885e+19	0.87904
0.0176	1.25893e+19	0.876897
0.0176	1.33352e+19	0.876377
0.0176	1.41254e+19	0.87502
0.0176	1.49624e+19	0.873108
0.0176	1.58489e+19	0.871579
0.0176	1.6788e+19	0.871799
0.0176	1.77828e+19	0.869925
0.0176	1.88365e+19	0.869036
0.0176	1.99526e+19	0.867071
0.0176	2.11349e+19	0.866236
0.0176	2.23872e+19	0.865871
0.0176	2.37137e+19	0.864773
0.0176	2.51189e+19	0.864266
0.0176	2.66073e+19	0.862918
0.0176	2.81838e+19	0.860412
0.0176	2.98538e+19	0.861323
0.0176	3.16228e+19	0.862648
0.0176	3.34965e+19	0.860342
0.0176	3.54813e+19	0.854484
0.0176	3.75837e+19	0.851705
0.0176	3.98107e+19	0.84371
0.0176	4.21697e+19	0.836998
0.0176	4.46684e+19	0.823248
0.0176	4.73151e+19	0.80657
0.0176	5.01187e+19	0.785423
0.0176	5.30884e+19	0.753768
0.0176	5.62341e+19	0.713552
0.0176	5.95662e+19	0.662702
0.0176	6.30957e+19	0.605507
0.0176	6.68344e+19	0.54112
0.0176	7.07946e+19	0.468413
0.0176	7.49894e+19	0.394626
0.0176	7.94328e+19	0.321434
0.0176	8.41395e+19	0.251587
0.0176	8.91251e+19	0.189354
0.0176	9.44061e+19	0.140509
0.0176	1e+20	0.0988407
0.0201	1e+19	0.867896
0.0201	1.05925e+19	0.866146
0.0201	1.12202e+19	0.864799
0.0201	1.1885e+19	0.862281
0.0201	1.25893e+19	0.860658
0.0201	1.33352e+19	0.859291
0.0201	1.41254e+19	0.858491
0.0201	1.49624e+19	0.856263
0.0201	1.58489e+19	0.854377
0.0201	1.6788e+19	0.853871
0.0201	1.77828e+19	0.852422
0.0201	1.88365e+19	0.851778
0.0201	1.99526e+19	0.85057
0.0201	2.11349e+19	0.849776
0.0201	2.23872e+19	0.848846
0.0201	2.37137e+19	0.847098
0.0201	2.51189e+19	0.847093
0.0201	2.66073e+19	0.846502
0.0201	2.81838e+19	0.844193
0.0201	2.98538e+19	0.84387
0.0201	3.16228e+19	0.843169
0.0201	3.34965e+19	0.840024
0.0201	3.54813e+19	0.834584
0.0201	3.75837e+19	0.831467
0.0201	3.98107e+19	0.823719
0.0201	4.21697e+19	0.814421
0.0201	4.46684e+19	0.798759
0.0201	4.73151e+19	0.778062
0.0201	5.01187e+19	0.751101
0.0201	5.30884e+19	0.715907
0.0201	5.62341e+19	0.666972
0.0201	5.95662e+19	0.611078
0.0201	6.30957e+19	0.547821
0.0201	6.68344e+19	0.476427
0.0201	7.07946e+19	0.400573
0.0201	7.49894e+19	0.326712
0.0201	7.94328e+19	0.254919
0.0201	8.41395e+19	0.187906
0.0201	8.91251e+19	0.135174
0.0201	9.44061e+19	0.0946601
0.0201	1e+20	0.0630864
0.0226	1e+19	0.852424
0.0226	1.05925e+19	0.850317
0.0226	1.12202e+19	0.848416
0.0226	1.1885e+19	0.846486
0.0226	1.25893e+19	0.844262
0.0226	1.33352e+19	0.842707
0.0226	1.41254e+19	0.840904
0.0226	1.49624e+19	0.838844
0.0226	1.58489e+19	0.837768
0.0226	1.6788e+19	0.836729
0.0226	1.77828e+19	0.835692
0.0226	1.88365e+19	0.834969
0.0226	1.99526e+19	0.83345
0.0226	2.11349e+19	0.832082
0.0226	2.23872e+19	0.83134
0.0226	2.37137e+19	0.828955
0.0226	2.51189e+19	0.828765
0.0226	2.66073e+19	0.827964
0.0226	2.81838e+19	0.825242
0.0226	2.98538e+19	0.824631
0.0226	3.16228e+19	0.823996
0.0226	3.34965e+19	0.821066
0.0226	3.54813e+19	0.816452
0.0226	3.75837e+19	0.811097
0.0226	3.98107e+19	0.801679
0.0226	4.21697e+19	0.790565
0.0226	4.46684e+19	0.770529
0.0226	4.73151e+19	0.747139
0.0226	5.01187e+19	0.713687
0.0226	5.30884e+19	0.672609
0.0226	5.62341e+19	0.621515
0.0226	5.95662e+19	0.559029
0.0226	6.30957e+19	0.489367
0.0226	6.68344e+19	0.415742
0.0226	7.07946e+19	0.338043
0.0226	7.49894e+19	0.264617
0.0226	7.94328e+19	0.19583
0.0226	8.41395e+19	0.138174
0.0226	8.91251e+19	0.0945892
0.0226	9.44061e+19	0.0625732
0.0226	1e+20	0.0397579
0.0251	1e+19	0.83657
0.0251	1.05925e+19	0.834278
0.0251	1.12202e+19	0.832443
0.0251	1.1885e+19	0.830587
0.0251	1.25893e+19	0.828675
0.0251	1.33352e+19	0.826815
0.0251	1.41254e+19	0.824671
0.0251	1.49624e+19	0.82255
0.0251	1.58489e+19	0.821143
0.0251	1.6788e+19	0.819964
0.0251	1.77828e+19	0.81917
0.0251	1.88365e+19	0.817905
0.0251	1.99526e+19	0.816234
0.0251	2.11349e+19	0.815148
0.0251	2.23872e+19	0.814
0.0251	2.37137e+19	0.812043
0.0251	2.51189e+19	0.812083
0.0251	2.66073e+19	0.81086
0.0251	2.81838e+19	0.807533
0.0251	2.98538e+19	0.806681
0.0251	3.16228e+19	0.805349
0.0251	3.34965e+19	0.802354
0.0251	3.54813e+19	0.796344
0.0251	3.75837e+19	0.78924
0.0251	3.98107e+19	0.780778
0.0251	4.21697e+19	0.766786
0.0251	4.46684e+19	0.742569
0.0251	4.73151e+19	0.71387
0.0251	5.01187e+19	0.679538
0.0251	5.30884e+19	0.634464
0.0251	5.62341e+19	0.575375
0.0251	5.95662e+19	0.508049
0.0251	6.30957e+19	0.433076
0.0251	6.68344e+19	0.356456
0.0251	7.07946e+19	0.278175
0.0251	7.49894e+19	0.209282
0.0251	7.94328e+19	0.148433
0.0251	8.41395e+19	0.100127
0.0251	8.91251e+19	0.0649919
0.0251	9.44061e+19	0.0388915
0.0251	1e+20	0.0231288
0.0276	1e+19	0.821683
0.0276	1.05925e+19	0.819046
0.0276	1.12202e+19	0.816838
0.0276	1.1885e+19	0.815078
0.0276	1.25893e+19	0.812853
0.0276	1.33352e+19	0.810783
0.0276	1.41254e+19	0.808315
0.0276	1.49624e+19	0.805772
0.0276	1.58489e+19	0.804969
0.0276	1.6788e+19	0.803546
0.0276	1.77828e+19	0.802815
0.0276	1.88365e+19	0.800997
0.0276	1.99526e+19	0.799961
0.0276	2.11349e+19	0.798629
0.0276	2.23872e+19	0.796905
0.0276	2.37137e+19	0.79549
0.0276	2.51189e+19	0.794953
0.0276	2.66073e+19	0.793438
0.0276	2.81838e+19	0.790852
0.0276	2.98538e+19	0.789596
0.0276	3.16228e+19	0.788486
0.0276	3.34965e+19	0.784651
0.0276	3.54813e+19	0.777984
0.0276	3.75837e+19	0.769663
0.0276	3.98107e+19	0.757476
0.0276	4.21697e+19	0.742016
0.0276	4.46684e+19	0.71704
0.0276	4.73151e+19	0.686351
0.0276	5.01187e+19	0.64752
0.0276	5.30884e+19	0.592533
0.0276	5.62341e+19	0.526914
0.0276	5.95662e+19	0.455973
0.0276	6.30957e+19	0.379674
0.0276	6.68344e+19	0.303169
0.0276	7.07946e+19	0.228722
0.0276	7.49894e+19	0.164283
0.0276	7.94328e+19	0.111883
0.0276	8.41395e+19	0.0715255
0.0276	8.91251e+19	0.0444342
0.0276	9.44061e+19	0.0256912
0.0276	1e+20	0.0142863
0.0301	1e+19	0.806895
0.0301	1.05925e+19	0.804574
0.0301	1.12202e+19	0.80225
0.0301	1.1885e+19	0.799487
0.0301	1.25893e+19	0.796832
0.0301	1.33352e+19	0.795193
0.0301	1.41254e+19	0.793443
0.0301	1.49624e+19	0.790708
0.0301	1.58489e+19	0.788807
0.0301	1.6788e+19	0.78677
0.0301	1.77828e+19	0.786381
0.0301	1.88365e+19	0.784114
0.0301	1.99526e+19	0.782833
0.0301	2.11349e+19	0.781497
0.0301	2.23872e+19	0.780279
0.0301	2.37137e+19	0.778772
0.0301	2.51189e+19	0.776882
0.0301	2.66073e+19	0.774888
0.0301	2.81838e+19	0.773866
0.0301	2.98538e+19	0.772849
0.0301	3.16228e+19	0.770937
0.0301	3.34965e+19	0.766612
0.0301	3.54813e+19	0.758846
0.0301	3.75837e+19	0.750151
0.0301	3.98107e+19	0.736275
0.0301	4.21697e+19	0.71754
0.0301	4.46684e+19	0.689138
0.0301	4.73151e+19	0.654846
0.0301	5.01187e+19	0.610713
0.0301	5.30884e+19	0.552226
0.0301	5.62341e+19	0.482443
0.0301	5.95662e+19	0.409161
0.0301	6.30957e+19	0.332521
0.0301	6.68344e+19	0.256797
0.0301	7.07946e+19	0.187684
0.0301	7.49894e+19	0.127433
0.0301	7.94328e+19	0.0823627
0.0301	8.41395e+19	0.0496758
0.0301	8.91251e+19	0.0289199
0.0301	9.44061e+19	0.0154398
0.0301	1e+20	0.0077467
0.0326	1e+19	0.792399
0.0326	1.05925e+19	0.78939
0.0326	1.12202e+19	0.786938
0.0326	1.1885e+19	0.783972
